PROVIDER_ID,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_8,std_PC_01,std_SAFE_USE_OF_OPIOIDS,std_SEP_1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
460057,-0.490312327,0.8810901551,0.0802910279,,0.7520905995,1.03188899,,0.0485747107,,-0.064364365,-0.539064643,1.3414109632,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.3379561234,0.028411,0.480473,0.6442512979
460058,-0.500227897,0.7720059318,-0.046905783,,-0.239145148,0.1636017162,-0.774564191,0.4063494887,-1.885559269,-0.064364365,0.7467350655,0.2714445081,1,1,1,0,1,1,1,1,1,1,1,1,11,0.0909090909,-0.104602722,0.028411,0.480473,-0.276838053
460060,-0.207718601,0.6629217084,-0.237700999,0.4321902842,0.9952238961,1.03188899,1.0556197649,,,0.1409842852,1.1141064109,1.044198059,1,1,1,1,1,1,1,0,0,1,1,1,10,0.1,0.6031713799,0.028411,0.480473,1.1962387924
460061,-0.490312327,0.8265480434,0.6526766764,,0.0039881484,0.1636017162,1.2124926754,0.2632395775,-0.07901946,0.5516815849,0.3793637201,0.2714445081,1,1,1,0,1,1,1,1,1,1,1,1,11,0.0909090909,0.3414277148,0.028411,0.480473,0.6514766554
460062,-0.505185681,0.8265480434,0.1226899648,,0.3406342514,0.5977453531,,0.2632395775,,-0.680410314,-0.171693298,1.044198059,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.2041962173,0.028411,0.480473,0.3658593364
461300,-0.490312327,1.0992586017,-0.280099936,,0.6585777931,1.03188899,,-2.38429378,,,0.9304207382,0.2120019273,1,1,1,0,1,1,0,1,0,0,1,1,8,0.125,0.0971802508,0.028411,0.480473,0.1431290305
461301,-0.490312327,0.9901743784,-0.449695684,,0.6959829157,1.03188899,,-0.380755023,,,1.4814777564,-0.739079366,1,1,1,0,1,1,0,1,0,0,1,1,8,0.125,0.267460205,0.028411,0.480473,0.4975294769
461302,,,0.589078271,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.589078271,0.028411,0.480473,1.1669070716
461303,-0.490312327,0.9901743784,0.546679334,,0.8456034059,0.5977453531,,0.1916846219,,0.5516815849,0.9304207382,1.5197387057,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.6314906439,0.028411,0.480473,1.2551791407
461304,0.1541996797,1.1538007134,0.9494692348,,1.0139264574,,,,,,0.7467350655,,1,1,1,0,1,0,0,0,0,0,1,0,5,0.2,0.8036262302,0.028411,0.480473,1.6134416792
461305,,0.8265480434,,,1.0887367025,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,2,0.5,0.957642373,0.028411,0.480473,1.9339925627
461306,,1.0447164901,0.8010729556,,0.8269008446,,,,,,0.1956780474,,0,1,1,0,1,0,0,0,0,0,1,0,4,0.25,0.7170920844,0.028411,0.480473,1.4333397991
461307,-0.495270112,0.8810901551,0.6314772079,,0.6585777931,1.03188899,,-1.024749624,-1.538147767,0.5516815849,0.9304207382,0.6280999932,1,1,1,0,1,1,0,1,1,1,1,1,10,0.1,0.2255068959,0.028411,0.480473,0.4102128486
461308,0.7392182707,0.0629584801,-0.216501531,,1.0139264574,0.5977453531,,-4.387832538,,,,,1,1,1,0,1,1,0,1,0,0,0,0,6,0.1666666667,-0.365080918,0.028411,0.480473,-0.818966392
461309,,-1.191510088,0.822272424,,1.1822495089,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,3,0.3333333333,0.2710039483,0.028411,0.480473,0.5049050027
461310,,,-0.152903125,,-0.519683567,,,,,,1.6651634291,,0,0,1,0,1,0,0,0,0,0,1,0,3,0.3333333333,0.3308589122,0.028411,0.480473,0.6294800064
461333,-0.490312327,1.0992586017,0.6314772079,,1.2383571927,1.03188899,,0.6210143556,,,-1.824864352,-0.441866462,1,1,1,0,1,1,0,1,0,0,1,1,8,0.125,0.2331191508,0.028411,0.480473,0.4260560905
461335,,0.8265480434,1.2250623248,,0.714685477,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,3,0.3333333333,0.9220986151,0.028411,0.480473,1.860016012
470001,-0.15318297,1.0447164901,0.1014904963,-1.139132294,-0.108227219,0.1636017162,-0.147072549,0.4779044444,,0.5516815849,0.0119923747,-0.025768396,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,0.0707276071,0.028411,0.480473,0.0880736437
470003,0.0947062637,-1.136967976,0.1014904963,0.7813730793,-1.454811631,-0.704685558,-3.70285852,0.1201296663,1.1994548665,-0.680410314,0.0119923747,-0.441866462,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.484371143,0.028411,0.480473,-1.067242881
470005,-0.500227897,-0.59154686,0.3558841179,0.8977673444,-0.444873322,-0.270541921,-2.186420385,0.3347945331,2.4084468927,0.5516815849,0.3793637201,-0.441866462,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.0410384455,0.028411,0.480473,0.0262821534
470011,-0.202760816,0.9901743784,0.2074878387,-0.149781041,-0.220442587,-2.007116468,,0.4063494887,,,-0.906435989,0.0931167656,1,1,1,1,1,1,0,1,0,0,1,1,9,0.1111111111,-0.198823159,0.028411,0.480473,-0.472937265
470012,0.5161179606,1.0992586017,-0.131703657,0.8977673444,-1.062057844,-0.270541921,-0.931437101,0.5494594,-0.940599984,-3.144594112,-0.355378971,-0.620194204,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.366158707,0.028411,0.480473,-0.821209575
47001F,0.9226563035,0.5538374851,,,,0.5977453531,,0.6210143556,,,,1.1036406399,1,1,0,0,0,1,0,1,0,0,0,1,5,0.2,0.7597788274,0.028411,0.480473,1.5221829096
470024,-0.480396758,-0.755173195,0.3346846494,-0.207978174,0.0039881484,-0.270541921,-0.094781579,0.6210143556,,-1.707153563,-0.355378971,-0.501309043,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,-0.310275095,0.028411,0.480473,-0.704900071
471300,,0.8810901551,-0.258900467,,0.8456034059,,,,,,-2.192235698,,0,1,1,0,1,0,0,0,0,0,1,0,4,0.25,-0.181110651,0.028411,0.480473,-0.436072558
471301,,1.0447164901,0.6314772079,2.0035128624,,,,,,,0.3793637201,,0,1,1,1,0,0,0,0,0,0,1,0,4,0.25,1.0147675701,0.028411,0.480473,2.0528861545
471302,,,0.589078271,,,,,,,,-0.722750316,,0,0,1,0,0,0,0,0,0,0,1,0,2,0.5,-0.066836023,0.028411,0.480473,-0.198234936
471303,,,0.6950756133,2.0035128624,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,2,0.5,1.3492942378,0.028411,0.480473,2.7491301778
471304,,1.0447164901,0.6102777394,,,,,,,,0.5630493928,,0,1,1,0,0,0,0,0,0,0,1,0,3,0.3333333333,0.7393478741,0.028411,0.480473,1.479660353
471305,,0.3902111501,0.6738761448,0.8977673444,,,,,,,1.2977920836,,0,1,1,1,0,0,0,0,0,0,1,0,4,0.25,0.8149116807,0.028411,0.480473,1.6369298739
471306,0.4665401139,0.3902111501,,,,,,,,,-1.273807334,,1,1,0,0,0,0,0,0,0,0,1,0,3,0.3333333333,-0.13901869,0.028411,0.480473,-0.348467356
471307,0.5161179606,-0.700631083,0.2286873071,0.2575988866,-0.239145148,,,,,,0.3793637201,,1,1,1,1,1,0,0,0,0,0,1,0,6,0.1666666667,0.0736652739,0.028411,0.480473,0.0941877538
480001,-0.52501682,-2.391436545,1.2250623248,,,,,,,-6.63552116,,-1.868488402,1,1,1,0,0,0,0,0,0,1,0,1,5,0.2,-2.03908012,0.028411,0.480473,-4.303029256
480002,,-2.88231555,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-2.88231555,0.028411,0.480473,-6.058039198
490002,-0.52501682,0.8810901551,0.4830809287,,0.583767548,0.1636017162,,,,,-1.824864352,0.7469851548,1,1,1,0,1,1,0,0,0,0,1,1,7,0.1428571429,0.0726634758,0.028411,0.480473,0.0921027304
490004,-0.52501682,0.6083795968,-0.216501531,0.7813730793,-0.164334903,0.1636017162,-0.147072549,-0.59541989,-0.579292022,0.1409842852,0.0119923747,-0.560751624,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.090171524,0.028411,0.480473,-0.246802673
490005,-0.267212017,-0.100667855,0.1650889017,0.6649788143,-1.080760406,1.03188899,,0.1916846219,0.9910079655,0.5516815849,-0.171693298,-1.214620013,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,0.0692161172,0.028411,0.480473,0.0849278084
490007,-0.520059035,0.8265480434,-0.195302062,0.3157960191,-0.519683567,-0.270541921,,-0.166090156,-0.620981403,0.1409842852,0.7467350655,0.1525593464,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.010003217,0.028411,0.480473,-0.079949892
490009,-0.073858415,1.0992586017,-0.110504188,0.3157960191,-2.333832011,-1.138829195,-2.395584266,0.4063494887,,0.5516815849,0.7467350655,-2.284586468,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,-0.474306708,0.028411,0.480473,-1.046295962
490013,-0.52501682,0.6083795968,0.4618814602,0.3739931517,-0.183037464,-0.270541921,,0.3347945331,,,0.7467350655,-0.263538719,1,1,1,1,1,1,0,1,0,0,1,1,9,0.1111111111,0.1426276536,0.028411,0.480473,0.2377178499
490017,-0.207718601,0.6629217084,-0.682889837,,-0.444873322,-0.270541921,0.2712552124,0.4779044444,1.2272477867,,0.9304207382,-0.97684969,1,1,1,0,1,1,1,1,1,0,1,1,10,0.1,0.098687652,0.028411,0.480473,0.1462663559
490018,-0.207718601,0.8265480434,-0.258900467,0.4903874167,-0.370063077,0.1636017162,0.1143823019,0.4779044444,1.1994548665,0.5516815849,0.1956780474,-0.97684969,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.1838422155,0.028411,0.480473,0.3234969376
490019,-0.52501682,0.7174638201,0.5042803971,0.8395702119,-0.351360516,-0.270541921,0.2189642422,-1.954964047,,0.5516815849,,0.0931167656,1,1,1,1,1,1,1,1,0,1,0,1,10,0.1,-0.017680628,0.028411,0.480473,-0.095928743
490020,-0.520059035,-2.22781021,0.3558841179,,0.6585777931,0.1636017162,0.8987468544,-0.452309979,,,0.0119923747,0.3903296698,1,1,1,0,1,1,1,1,0,0,1,1,9,0.1111111111,-0.0801163,0.028411,0.480473,-0.225874925
490021,-0.520059035,1.0992586017,0.3558841179,0.083007489,-1.380001386,-1.138829195,,-0.666974846,,-0.475061664,0.5630493928,-0.917407109,1,1,1,1,1,1,0,1,0,1,1,1,10,0.1,-0.299713363,0.028411,0.480473,-0.682918138
490022,0.0203394936,1.0992586017,1.140264451,-0.382569571,-0.744114303,-0.704685558,0.794164914,0.2632395775,,0.3463329351,0.1956780474,-1.155177432,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,0.0793391961,0.028411,0.480473,0.1059967808
490023,0.2583131578,0.5538374851,-0.619291431,,-0.089524658,-0.704685558,-0.199363519,0.4063494887,-0.273569901,0.1409842852,0.1956780474,-0.857964528,1,1,1,0,1,1,1,1,1,1,1,1,11,0.0909090909,-0.108112466,0.028411,0.480473,-0.284142817
490024,-0.326705433,0.9901743784,-0.004506846,0.5485845492,-2.389939695,0.1636017162,,0.4063494887,1.5607628284,0.5516815849,0.1956780474,-1.809045821,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.010305927,0.028411,0.480473,-0.080579918
490032,-0.158140754,1.0992586017,-0.36489781,-1.080935161,-1.155570651,0.5977453531,,0.4779044444,0.9076292051,0.5516815849,0.1956780474,-1.74960324,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.061750035,0.028411,0.480473,-0.187649565
490033,-0.173014108,0.2265848151,-0.110504188,1.3051472721,0.0226907097,1.03188899,,-2.527403692,-0.343052201,,-0.355378971,-0.917407109,1,1,1,1,1,1,0,1,1,0,1,1,10,0.1,-0.184044848,0.028411,0.480473,-0.442179447
490037,-0.52501682,1.0992586017,0.1438894333,-0.266175306,0.4902547416,0.5977453531,1.2124926754,0.0485747107,,0.5516815849,-0.171693298,1.5197387057,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,0.4273409438,0.028411,0.480473,0.8302862332
490038,-0.52501682,1.0992586017,0.7798734871,-1.430117957,0.3406342514,0.1636017162,,,,,-1.457493007,1.6980664483,1,1,1,1,1,1,0,0,0,0,1,1,8,0.125,0.0836008401,0.028411,0.480473,0.1148664599
490040,-0.1432674,1.0992586017,-0.322498873,-0.615358101,-0.931139915,0.5977453531,,0.0485747107,1.1438690263,-4.171337362,0.5630493928,1.6386238674,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.099316427,0.028411,0.480473,-0.265835787
490041,0.2236086651,0.7174638201,0.5678788025,,-0.426170761,-0.270541921,,0.5494594,,0.5516815849,0.9304207382,-0.620194204,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.2470673472,0.028411,0.480473,0.4550862078
490042,-0.410987773,1.0447164901,-0.258900467,-0.324372439,-1.567026999,0.1636017162,-0.35623643,0.4063494887,-0.343052201,0.5516815849,0.5630493928,-2.40347163,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.244554105,0.028411,0.480473,-0.568116219
490043,-0.197803032,1.1538007134,0.8434718925,0.1412046215,-0.370063077,1.03188899,0.5327100632,-2.956733425,1.1021796461,-0.269713014,0.1956780474,1.5791812866,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.232150226,0.028411,0.480473,0.4240394857
490044,-0.52501682,0.6083795968,-0.046905783,0.1412046215,0.0039881484,0.1636017162,0.6372920035,0.6210143556,1.2272477867,0.5516815849,0.5630493928,0.2120019273,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.3464615442,0.028411,0.480473,0.6619534693
490045,,,0.271086244,,-0.725411741,-0.704685558,-0.61769128,0.4779044444,,0.1409842852,0.0119923747,-1.095734851,0,0,1,0,1,1,1,1,0,1,1,1,8,0.125,-0.28019451,0.028411,0.480473,-0.642293919
490046,-0.52501682,0.5538374851,-0.492094621,-0.033386776,-0.351360516,0.1636017162,-0.46081837,0.1201296663,0.7825610644,0.5516815849,0.3793637201,-0.3229813,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.0304597362,0.028411,0.480473,0.0042648859
490048,-0.52501682,-1.90055754,0.6102777394,0.3157960191,0.9765213348,0.5977453531,1.1602017052,0.1916846219,,0.5516815849,-0.722750316,0.2714445081,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,0.1388207446,0.028411,0.480473,0.2297946022
490050,-0.430818911,0.8810901551,-0.343698341,-0.033386776,-0.949842477,0.1636017162,,0.2632395775,0.490735403,0.5516815849,0.0119923747,0.2120019273,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,0.0742360212,0.028411,0.480473,0.0953756395
490052,-0.52501682,1.0447164901,0.7162750817,0.4903874167,-1.604432121,-0.704685558,0.6372920035,0.6210143556,0.6435964637,0.5516815849,0.1956780474,0.2714445081,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,0.1948292877,0.028411,0.480473,0.3463641231
490053,-0.490312327,1.0992586017,0.4830809287,1.188753007,-1.118165528,0.1636017162,0.794164914,0.6210143556,,-0.064364365,0.1956780474,0.0931167656,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,0.269620556,0.028411,0.480473,0.5020257745
490057,-0.52501682,0.8265480434,-0.36489781,0.1412046215,0.5276598642,0.5977453531,0.7418739439,0.3347945331,0.6435964637,,-0.722750316,-0.144653558,1,1,1,1,1,1,1,1,1,0,1,1,11,0.0909090909,0.1869185745,0.028411,0.480473,0.3298997053
490059,0.149241895,0.7720059318,-0.110504188,-0.033386776,-0.033416974,0.1636017162,,0.4063494887,-0.17629468,0.1409842852,0.7467350655,0.1525593464,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,0.1979886464,0.028411,0.480473,0.3529396365
490060,-0.520059035,0.3356690385,-1.509669107,0.7231759468,-0.426170761,0.1636017162,-0.826855161,-0.237645112,,0.5516815849,-0.539064643,1.2819683824,1,1,1,1,1,1,1,1,0,1,1,1,11,0.0909090909,-0.091215196,0.028411,0.480473,-0.248974847
