PROVIDER_ID,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
420049,-0.374518794,-0.406990172,0.3688120998,0.6329797104,1.1084136071,-0.743351769,0.0577905201,-1.406953213,1,1,1,1,1,1,1,1,8,0.125,-0.095477251,-0.019030,0.779001,-0.098135027
420051,0.0854445862,0.593097712,-0.030595171,-0.093283197,,-1.850651839,0.1199642612,0.0490742479,1,1,1,1,0,1,1,1,7,0.1428571429,-0.160992771,-0.019030,0.779001,-0.182237047
420053,1.925298105,,,,,,-0.414269366,0.6422706209,1,0,0,0,0,0,1,1,3,0.3333333333,0.7177664532,-0.019030,0.779001,0.945822782
420055,,,,,,,1.0249376044,-0.490195182,0,0,0,0,0,0,1,1,2,0.5,0.2673712111,-0.019030,0.779001,0.3676521457
420065,,0.9776423739,-0.517426351,-1.169971301,0.321926694,-2.176895546,-0.008988683,0.3187089629,0,1,1,1,1,1,1,1,7,0.1428571429,-0.322143407,-0.019030,0.779001,-0.389105497
420067,0.6987290924,-0.931492785,-2.120198018,1.149255,,-1.312269367,-0.580066009,-0.004852695,1,1,1,1,0,1,1,1,7,0.1428571429,-0.442984969,-0.019030,0.779001,-0.544229344
420070,,0.3118229947,0.1648229786,0.3373920447,,0.5551946112,0.4814930522,0.857978393,0,1,1,1,0,1,1,1,6,0.1666666667,0.4514506791,-0.019030,0.779001,0.6039542492
420071,0.3920868393,0.2139883104,-0.015167423,0.4925421317,1.1084136071,0.018419251,0.2811554419,-0.81375684,1,1,1,1,1,1,1,1,8,0.125,0.2097101648,-0.019030,0.779001,0.2936328829
420072,,,,,,,1.0249376044,0.1030011909,0,0,0,0,0,0,1,1,2,0.5,0.5639693976,-0.019030,0.779001,0.7483940946
420073,0.6987290924,0.4463456856,0.2813881907,0.9526423897,0.4937119934,0.3494842935,0.2696417862,-0.166633524,1,1,1,1,1,1,1,1,8,0.125,0.4156637384,-0.019030,0.779001,0.5580146915
420078,,0.4055812338,0.1373958698,0.2651670042,0.9304192004,-0.087650132,0.0808178316,-0.27448741,0,1,1,1,1,1,1,1,7,0.1428571429,0.2081776569,-0.019030,0.779001,0.2916656083
420079,-2.674335692,0.0563657635,-0.753985164,-0.61624599,0.1811869306,0.5793012891,-0.02280507,0.4804897919,1,1,1,1,1,1,1,1,8,0.125,-0.346253518,-0.019030,0.779001,-0.420055553
420080,0.2387657127,0.9776423739,1.0287769037,-0.267158294,,,0.3295127961,0.5883436779,1,1,1,1,0,0,1,1,6,0.1666666667,0.482647195,-0.019030,0.779001,0.6440010965
420082,-1.907730059,0.1080007357,0.8127884224,0.2838920147,0.1325489241,0.6917991191,0.5206394819,-1.730514871,1,1,1,1,1,1,1,1,8,0.125,-0.136072029,-0.019030,0.779001,-0.150246387
420085,-0.06787654,0.2846466935,0.4528076203,-0.546695951,,0.3414487342,0.3018800223,1.451174766,1,1,1,1,0,1,1,1,7,0.1428571429,0.316769335,-0.019030,0.779001,0.4310643269
420086,2.3852614847,-0.167838721,1.0287769037,0.1675294494,-0.580463554,0.8878667656,0.8545354991,1.181540051,1,1,1,1,1,1,1,1,8,0.125,0.7196509848,-0.019030,0.779001,0.9482419479
420087,-0.9878033,0.5346686644,-0.154017161,0.4657921167,0.2205112762,0.4073403204,-0.335976507,1.5590286521,1,1,1,1,1,1,1,1,8,0.125,0.2136930078,-0.019030,0.779001,0.2987456431
420089,-0.9878033,,,,,,1.0249376044,0.5883436779,1,0,0,0,0,0,1,1,3,0.3333333333,0.2084926608,-0.019030,0.779001,0.2920699777
420091,,-1.821516649,-1.317955088,-1.160608796,,0.7866187186,0.0762123693,0.2647820199,0,1,1,1,0,1,1,1,6,0.1666666667,-0.528744571,-0.019030,0.779001,-0.654318615
420098,-2.980977945,,,1.149255,,0.142166864,0.7992699514,0.6961975639,1,0,0,1,0,1,1,1,5,0.2,-0.038817713,-0.019030,0.779001,-0.025401396
420101,,,,1.149255,,,0.3594483011,0.4804897919,0,0,0,1,0,0,1,1,3,0.3333333333,0.6630643644,-0.019030,0.779001,0.8756019214
420102,0.3920868393,,,,,,1.0249376044,-0.004852695,1,0,0,0,0,0,1,1,3,0.3333333333,0.4707239162,-0.019030,0.779001,0.6286952294
420103,,,,1.149255,,,-0.711321685,0.911905336,0,0,0,1,0,0,1,1,3,0.3333333333,0.449946217,-0.019030,0.779001,0.602022977
420104,-0.52783992,,,0.7787672922,,,0.4607684719,0.80405145,1,0,0,1,0,0,1,1,4,0.25,0.3789368235,-0.019030,0.779001,0.5108684923
420105,0.5454079659,-0.03331603,-0.855122628,0.699854748,,0.7416195866,0.5413640622,0.3187089629,1,1,1,1,0,1,1,1,7,0.1428571429,0.2797880954,-0.019030,0.779001,0.3835916522
420106,0.0854445862,-0.741258677,,,,-0.383358713,1.0249376044,1.019759222,1,1,0,0,0,1,1,1,5,0.2,0.2011048045,-0.019030,0.779001,0.2825862151
420107,,,,,,,1.0249376044,0.3187089629,0,0,0,0,0,0,1,1,2,0.5,0.6718232836,-0.019030,0.779001,0.8868457123
420108,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
420109,,,,,,,1.0249376044,0.3187089629,0,0,0,0,0,0,1,1,2,0.5,0.6718232836,-0.019030,0.779001,0.8868457123
420110,0.0854445862,,,-0.082583191,,,-0.732046265,0.4265628489,1,0,0,1,0,0,1,1,4,0.25,-0.075655505,-0.019030,0.779001,-0.072689928
