PROVIDER_ID,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
220019,,-1.800910367,-0.333991836,-0.015824407,,-2.020692504,,-1.592084864,-0.444804568,0.2782537905,-0.599837257,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.816236502,0.013108,0.533730,-1.553864766
22001F,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.013108,0.533730,
220020,-2.200101509,-1.020647793,-0.799311632,-0.117756987,,-2.020692504,-0.315101193,-0.411862791,0.7233592449,1.0941189957,-0.599837257,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.566783342,0.013108,0.533730,-1.086487736
220024,,0.9537971356,-0.584210971,-0.729352465,,-1.62344088,,-1.001973828,-1.174906951,-1.236924448,-0.257980078,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.706874061,0.013108,0.533730,-1.348962599
220029,,-0.687608889,-0.039874606,1.9208946053,,-1.822066692,-1.837760589,-1.149501587,0.4313182916,0.2782537905,-0.257980078,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.35159175,0.013108,0.533730,-0.683303396
220030,,0.8634008617,0.0874298668,0.1880407518,,0.0648785204,0.5308206939,-1.444557105,,,0.0838771007,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.0534129557,0.013108,0.533730,0.0755160047
220031,-3.104077898,-0.463997054,-1.743120653,-0.117756987,0.3676363213,-0.133747291,0.5308206939,0.4733037638,-0.663835283,0.7444624792,-0.941694436,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.459273304,0.013108,0.533730,-0.885056242
220033,-0.789437718,0.1878076573,0.3903267154,0.2899733314,,-0.034434386,0.8691894486,-0.411862791,-0.152763615,0.0451494461,0.7675914583,1,1,1,1,0,1,1,1,1,1,1,10,0.1,0.1161539548,0.013108,0.533730,0.1930679407
220035,0.805476038,-0.283204506,-1.172445431,2.6344226626,,0.5614430499,0.1924519392,-1.444557105,1.0884104365,0.7444624792,1.1094486371,1,1,1,1,0,1,1,1,1,1,1,10,0.1,0.42359082,0.013108,0.533730,0.7690836125
220036,-1.987062488,-1.810425764,1.5404567781,-0.219689567,-0.112089191,-1.027563445,1.2075582032,-2.034668142,,,-0.599837257,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.560368986,0.013108,0.533730,-1.074469756
220046,,-0.035804178,1.1541535509,1.4112317072,,1.3559462971,0.8691894486,-0.116807273,-0.37179433,-0.887267931,0.4257342795,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.4227312857,0.013108,0.533730,0.7674731836
220049,,-1.743817984,-0.52275364,0.2899733314,,-0.729624727,,-1.592084864,,,-0.257980078,0,1,1,1,0,1,0,1,0,0,1,6,0.1666666667,-0.759381327,0.013108,0.533730,-1.447340548
220052,-0.71458617,-0.987343903,0.4122757624,-1.035150204,,-3.31176028,0.3616363166,-0.264335032,0.0662671,0.8610146514,0.0838771007,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.452810466,0.013108,0.533730,-0.872947427
220060,-0.455484657,0.7016391086,-0.527143449,1.717029446,,2.5477011679,-0.48428557,0.9158870412,-0.663835283,1.0941189957,0.4257342795,1,1,1,1,0,1,1,1,1,1,1,10,0.1,0.5271361079,0.013108,0.533730,0.9630867245
220062,,,,,,,,-2.32972366,,,,0,0,0,0,0,0,0,1,0,0,0,1,1,-2.32972366,0.013108,0.533730,-4.389543961
220063,-0.743375227,-0.050077274,-1.014412292,1.1054339683,,-1.524127974,0.1924519392,-2.477251419,0.4313182916,0.1617016183,-0.599837257,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.451817563,0.013108,0.533730,-0.871087117
220065,,-0.06435037,0.7722401331,-0.321622146,,0.2635043322,,-3.067362456,,,-0.257980078,0,1,1,1,0,1,0,1,0,0,1,6,0.1666666667,-0.445928431,0.013108,0.533730,-0.860053202
220066,,-0.521089437,-0.426177833,2.1247597645,,-1.722753786,0.3616363166,-1.444557105,-1.174906951,1.6768798566,-0.599837257,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.191782937,0.013108,0.533730,-0.383884584
220070,-0.691554924,-0.554393328,-0.509584212,0.391905911,,-3.31176028,-0.48428557,-0.264335032,,,-1.283551615,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.838444881,0.013108,0.533730,-1.595474528
220071,-1.134906401,-1.172894149,-0.729074682,2.2266923441,0.7274304554,-1.722753786,0.1924519392,0.4733037638,0.4313182916,1.5603276844,1.4513058159,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.2093819343,0.013108,0.533730,0.3677404778
220073,,-0.949282314,-0.426177833,-1.239015363,,-0.828937633,-3.360419985,-2.182195901,,,-0.257980078,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-1.320572729,0.013108,0.533730,-2.49879234
