PROVIDER_ID,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010097,1.5777071423,1.5776682088,1.6495079648,1.7914908957,-0.312251048,0.9331768019,0.7193713829,2.0565446049,1,1,1,1,1,1,1,1,8,0.125,1.2491519941,7.533033E-17,0.866021,1.4424031222
010099,0.6671169089,1.5776682088,1.6495079648,0.7686551275,0.6784137042,-0.038194859,0.2466798521,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,0.696272921,7.533033E-17,0.866021,0.8039904189
010100,-0.243473324,-0.436147184,-0.231670805,-0.254180641,0.6784137042,-0.038194859,0.2466798521,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-0.0322796,7.533033E-17,0.866021,-0.037273443
010101,-0.243473324,-1.44305488,0.70891858,-0.254180641,-1.3029158,-0.038194859,-1.17139474,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-0.465494901,7.533033E-17,0.866021,-0.537509687
010102,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010103,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-1.3029158,-1.00956652,-0.226011679,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-0.334590225,7.533033E-17,0.866021,-0.386353292
010104,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-0.312251048,-0.038194859,0.7193713829,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,0.0288372098,7.533033E-17,0.866021,0.0332984951
010108,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,0.9331768019,0.7193713829,1.0384405328,1,1,1,1,1,1,1,1,8,0.125,0.7606066938,7.533033E-17,0.866021,0.8782770032
010110,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010112,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-1.3029158,-0.038194859,-0.69870321,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,-0.081360695,7.533033E-17,0.866021,-0.093947671
010113,-1.154063558,-0.436147184,-0.231670805,-0.254180641,-0.312251048,-0.038194859,-0.226011679,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.392654419,7.533033E-17,0.866021,-0.453400356
010114,-1.154063558,0.5707605124,-1.17226019,-0.254180641,-1.3029158,-1.00956652,-1.17139474,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.811423569,7.533033E-17,0.866021,-0.936955546
010118,-1.154063558,-0.436147184,-2.112849574,-1.277016409,-2.293580553,-1.980938182,-2.116777802,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-1.4188796,7.533033E-17,0.866021,-1.638388583
010120,1.5777071423,1.5776682088,0.70891858,1.7914908957,1.6690784566,-0.038194859,0.7193713829,1.5474925688,1,1,1,1,1,1,1,1,8,0.125,1.194191547,7.533033E-17,0.866021,1.378939972
