PROVIDER_ID,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,C1,C2,C3,C4,C5,C6,C7,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
301305,,,,1.8999745368,1.5155411211,,,0,0,0,1,1,0,0,2,0.5,1.707757829,-0.073484,0.730255,2.4392039991
301306,,,,,0.8591750327,,,0,0,0,0,1,0,0,1,1,0.8591750327,-0.073484,0.730255,1.2771680006
301307,,,-0.379652038,0.5583805306,0.4100824459,-0.243211617,,0,0,1,1,1,1,0,4,0.25,0.0863998305,-0.073484,0.730255,0.2189417348
301308,,,-1.042103551,0.5583805306,-2.146290741,,,0,0,1,1,1,0,0,3,0.3333333333,-0.876671254,-0.073484,0.730255,-1.099872733
301309,,,-0.445897189,-0.366856715,-0.31537481,0.0771617807,,0,0,1,1,1,1,0,4,0.25,-0.262741733,-0.073484,0.730255,-0.259167258
301310,,,-0.644632643,0.14202377,-0.937195315,,,0,0,1,1,1,0,0,3,0.3333333333,-0.479934729,-0.073484,0.730255,-0.556587946
301311,,,0.5477800796,0.2345474946,-0.729921813,-0.18981605,,0,0,1,1,1,1,0,4,0.25,-0.034352572,-0.073484,0.730255,0.0535852846
301312,,,-0.247161735,-1.569665135,-0.039010141,-0.243211617,,0,0,1,1,1,1,0,4,0.25,-0.524762157,-0.073484,0.730255,-0.617973924
310001,1.9543298734,1.3619188082,2.0051734071,1.4836177763,2.1719072096,1.5188420687,0.4186230764,1,1,1,1,1,1,1,7,0.1428571429,1.5592017457,-0.073484,0.730255,2.235773624
310002,0.309109783,-0.082454375,0.7465155333,-0.043023679,-0.177192475,0.3975351781,0.2248389836,1,1,1,1,1,1,1,7,0.1428571429,0.1964755641,-0.073484,0.730255,0.3696777215
310003,-1.17942268,,0.5477800796,1.6224033631,-0.522648311,0.9848864065,,1,0,1,1,1,1,0,5,0.2,0.2905997716,-0.073484,0.730255,0.4985699379
310005,0.5441412244,,0.6140252308,0.14202377,2.2409983768,1.35865537,0.0353421495,1,0,1,1,1,1,1,6,0.1666666667,0.8225310203,-0.073484,0.730255,1.2269882636
310006,0.4657974106,,-0.777122945,0.0495000455,0.5137191967,-0.883958411,,1,0,1,1,1,1,0,5,0.2,-0.126412941,-0.073484,0.730255,-0.072480743
310008,-1.571141749,,1.2102315921,0.8822135666,0.6173559475,0.2373484794,0.5155151228,1,0,1,1,1,1,1,6,0.1666666667,0.3152538266,-0.073484,0.730255,0.5323308148
310009,-2.041204632,,-0.843368097,0.3733330814,-0.246283643,0.3441396118,-1.713859396,1,0,1,1,1,1,1,6,0.1666666667,-0.687873846,-0.073484,0.730255,-0.841336518
310010,0.0740783415,,0.5477800796,0.5121186683,1.1355397015,1.6790287674,-0.603459395,1,0,1,1,1,1,1,6,0.1666666667,0.5575143605,-0.073484,0.730255,0.864078598
310011,0.4657974106,,0.4152897771,-0.274332991,0.7209926983,-0.990749544,,1,0,1,1,1,1,0,5,0.2,0.0673994703,-0.073484,0.730255,0.1929229391
310012,-0.552672169,0.1582744892,-0.644632643,-0.505642302,0.0646266098,1.0916775389,-1.275272832,1,1,1,1,1,1,1,7,0.1428571429,-0.237663044,-0.073484,0.730255,-0.224824893
310014,-0.317640728,1.1211899444,-0.313406887,0.3270712192,0.6173559475,-0.510189448,-1.773452292,1,1,1,1,1,1,1,7,0.1428571429,-0.121296035,-0.073484,0.730255,-0.065473732
310015,-0.1609531,0.7600966487,0.8790058358,1.3910940517,1.3773587867,1.9994021647,0.9030833084,1,1,1,1,1,1,1,7,0.1428571429,1.0212982423,-0.073484,0.730255,1.4991769862
310016,1.1708917351,,0.2827994746,0.7434279797,0.8591750327,0.7179085754,,1,0,1,1,1,1,0,5,0.2,0.7548405595,-0.073484,0.730255,1.1342940062
310017,0.9358602936,,0.1503091721,1.2060466026,-0.79901298,0.7179085754,1.2173393704,1,0,1,1,1,1,1,6,0.1666666667,0.5714085056,-0.073484,0.730255,0.8831050228
310019,-0.944391238,-1.04536983,1.0777412896,0.6509042552,0.7555382819,0.5577218767,-0.296062947,1,1,1,1,1,1,1,7,0.1428571429,0.1080116697,-0.073484,0.730255,0.2485366492
31001F,0.7791726659,,1.6077024996,2.1312838483,0.9973573671,,,1,0,1,1,1,0,0,4,0.25,1.3788790952,-0.073484,0.730255,1.988842609
310022,-1.727829377,,-0.048426282,0.3733330814,-0.004464557,0.3441396118,-0.278913912,1,0,1,1,1,1,1,6,0.1666666667,-0.223693572,-0.073484,0.730255,-0.205695317
310024,0.1524221553,,-0.843368097,0.14202377,-1.489924652,0.5577218767,-0.389096461,1,0,1,1,1,1,1,6,0.1666666667,-0.311703568,-0.073484,0.730255,-0.326214828
310025,-0.474328355,,1.2764767434,0.8359517043,0.306445695,-1.524705206,0.9185174397,1,0,1,1,1,1,1,6,0.1666666667,0.2230596702,-0.073484,0.730255,0.4060815802
310027,-0.866047425,,0.6802703821,-2.726211692,-1.144468816,0.1839529132,,1,0,1,1,1,1,0,5,0.2,-0.774500927,-0.073484,0.730255,-0.959962288
310028,1.6409546181,,1.4089670459,0.0032381832,0.5137191967,1.0382819727,1.355817826,1,0,1,1,1,1,1,6,0.1666666667,0.9934964738,-0.073484,0.730255,1.4611056795
310029,-0.631015983,0.5193677849,0.0178188695,0.14202377,-0.280829226,-0.883958411,-1.524791288,1,1,1,1,1,1,1,7,0.1428571429,-0.377340641,-0.073484,0.730255,-0.416097207
310031,-0.004265472,1.0008255125,0.6802703821,1.1597847403,0.2028089442,,-0.251904183,1,1,1,1,1,0,1,6,0.1666666667,0.464586654,-0.073484,0.730255,0.7368248513
310032,0.2307659691,,0.2165543233,0.0495000455,0.0646266098,-0.136420484,-0.735935689,1,0,1,1,1,1,1,6,0.1666666667,-0.051818204,-0.073484,0.730255,0.0296681216
310034,0.6224850383,,-1.439574458,0.4195949437,0.6864471147,-0.083024918,1.1581752004,1,0,1,1,1,1,1,6,0.1666666667,0.2273504869,-0.073484,0.730255,0.4119573574
310038,1.0142041074,1.1211899444,1.6077024996,-0.320594853,-0.142646892,-0.670376146,-0.248474376,1,1,1,1,1,1,1,7,0.1428571429,0.3372863264,-0.073484,0.730255,0.5625017753
310039,1.4059231766,,1.6077024996,0.0032381832,0.6519015311,0.8246997078,-0.494134299,1,0,1,1,1,1,1,6,0.1666666667,0.6665551333,-0.073484,0.730255,1.0133973254
310040,-0.631015983,,0.2827994746,0.4195949437,-0.557193895,,,1,0,1,1,1,0,0,4,0.25,-0.121453865,-0.073484,0.730255,-0.065689862
310041,-1.962860818,,-0.578387492,-0.505642302,-0.764467397,-0.403398315,-1.651265419,1,0,1,1,1,1,1,6,0.1666666667,-0.97767029,-0.073484,0.730255,-1.238179233
310044,0.7791726659,,0.6140252308,-1.430879548,-0.384465977,0.5043263105,0.0456315704,1,0,1,1,1,1,1,6,0.1666666667,0.0213017088,-0.073484,0.730255,0.129797386
310045,0.8575164798,0.8804610806,0.4815349283,0.1882856323,0.4446280295,-1.364518507,-0.337220631,1,1,1,1,1,1,1,7,0.1428571429,0.1643838589,-0.073484,0.730255,0.3257318427
310047,0.1524221553,,-0.777122945,0.465856806,0.2719001114,0.8246997078,0.4443466286,1,0,1,1,1,1,1,6,0.1666666667,0.2303504106,-0.073484,0.730255,0.416065406
310048,-0.004265472,,0.1503091721,0.4195949437,-1.317196734,-0.296607183,-0.208174144,1,0,1,1,1,1,1,6,0.1666666667,-0.209389903,-0.073484,0.730255,-0.186108096
310050,0.309109783,,0.7465155333,0.5583805306,-0.626285062,-0.777167279,0.4430604509,1,0,1,1,1,1,1,6,0.1666666667,0.1089356595,-0.073484,0.730255,0.2498019463
310051,1.1708917351,,0.2827994746,0.6971661174,0.4446280295,0.8246997078,1.4784334246,1,0,1,1,1,1,1,6,0.1666666667,0.8164364148,-0.073484,0.730255,1.2186424063
310052,-1.257766494,,0.6802703821,0.0032381832,0.6519015311,0.3975351781,0.1056531921,1,0,1,1,1,1,1,6,0.1666666667,0.0968053288,-0.073484,0.730255,0.2331908613
310054,-0.239296914,,-0.644632643,0.6509042552,1.2046308687,0.6111174429,-0.488132137,1,0,1,1,1,1,1,6,0.1666666667,0.1824318122,-0.073484,0.730255,0.3504464275
310057,0.1524221553,,0.0178188695,-0.089285541,0.6864471147,1.4654465025,-0.597028507,1,0,1,1,1,1,1,6,0.1666666667,0.2726367656,-0.073484,0.730255,0.4739716786
310058,,,,,-0.419011561,,,0,0,0,0,1,0,0,1,1,-0.419011561,-0.073484,0.730255,-0.473160713
310060,,,0.4815349283,1.6224033631,0.4446280295,0.7713041416,,0,0,1,1,1,1,0,4,0.25,0.8299676156,-0.073484,0.730255,1.2371718209
