PROVIDER_ID,IMM_3_DEN,EDAC_30_AMI_DEN,READM_30_HOSP_WIDE_DEN,EDAC_30_HF_DEN,OP_18B_DEN,OP_23_DEN,MORT_30_COPD_DEN,HAI_3_DEN_VOL,HAI_5_DEN_PRED,OP_13_DEN,HAI_5_DEN_VOL,HAI_1_DEN_VOL,READM_30_HIP_KNEE_DEN,H_NUMB_COMP,HAI_6_DEN_VOL,MORT_30_HF_DEN,PC_01_DEN,SAFE_USE_OF_OPIOIDS_DEN,READM_30_COPD_DEN,OP_10_DEN,COMP_HIP_KNEE_DEN,HAI_2_DEN_PRED,OP_29_DEN,OP_22_DEN,MORT_30_AMI_DEN,MORT_30_PN_DEN,OP_36_DEN,MORT_30_CABG_DEN,HAI_1_DEN_PRED,HAI_6_DEN_PRED,H_RESP_RATE_P,HCP_COVID_19_DEN,READM_30_CABG_DEN,PSI_90_SAFETY_DEN,HAI_3_DEN_PRED,OP_8_DEN,MORT_30_STK_DEN,PSI_4_SURG_COMP_DEN,HAI_2_DEN_VOL,OP_32_DEN,OP_35_ED_DEN,OP_35_ADM_DEN,SEP_1_DEN,EDAC_30_PN_DEN,HAI_4_DEN_VOL,HAI_4_DEN_PRED,Total_m_cnt,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_8,std_PC_01,std_SAFE_USE_OF_OPIOIDS,std_SEP_1
010023,4436,194,1688,304,399,,68,157,8.203,,93613,16142,95,2440,87115,263,86,3319,70,879,91,34.54,99,51139,186,151,384,53,18.505,37.83,27,2731,51,,5.083,,273,113,18188,147,463,463,127,146,,,42,-0.787703611,0.2786389211,-0.975858399,0.2345474946,-0.79901298,-1.684891905,-0.648475612,-0.52783992,-0.711364745,-0.657990284,-0.166845738,,-1.15959374,0.1107533366,-4.426862022,-0.334570618,-1.177651847,-2.081135977,-1.850610841,-1.551265728,0.3628172381,-0.48428557,-1.592084864,2.0375435346,0.3948059626,-0.257980078,-1.154063558,-0.436147184,-0.231670805,-0.254180641,-0.312251048,-0.038194859,-0.226011679,-0.488715575,-0.396114419,0.8810901551,0.9070702979,,-0.613196374,-0.704685558,,0.3347945331,,0.3463329351,0.1956780474,-1.74960324
010024,2603,146,1774,325,1518,16,68,155,6.64,318,72056,8441,,780,70117,285,83,1048,79,595,,15.353,37,53088,147,238,619,98,9.065,47.541,16,2990,91,,4.518,,134,71,12313,244,112,112,331,233,,,42,0.8575164798,-0.684276534,0.0178188695,-0.736951613,-0.557193895,-0.243211617,-0.956729511,,-1.27119655,-0.423145665,-0.034433164,,-1.955114109,-0.62151517,-0.004852695,-1.394007914,-0.378358479,-1.242682381,-0.321622146,0.9672932116,0.6607559558,,-1.149501587,1.1614206748,0.8610146514,0.7675914583,-0.243473324,-0.436147184,-0.231670805,-1.277016409,-1.3029158,-1.00956652,-0.226011679,-0.997767611,-0.346536572,-1.682389093,-0.449695684,-0.382569571,-0.220442587,-0.270541921,-0.46081837,-0.380755023,,0.1409842852,0.9304207382,0.6280999932
010029,4870,117,1655,334,594,,132,193,5.987,123,83004,7450,467,655,76601,298,173,1270,134,904,414,9.058,145,60196,134,230,586,92,7.751,51.991,19,3693,90,,5.15,48,147,61,7308,1290,125,125,363,215,415,3.352,45,-1.336110308,0.1582744892,-0.247161735,-2.124807482,-0.626285062,0.130557347,-0.790383874,-1.44776668,-0.59994191,-0.675132227,0.1100169171,-0.743970043,0.9232232265,-0.835669167,0.0490742479,-2.430413965,-2.34328801,0.0435317728,0.6977036498,-1.071540215,0.9586946735,0.1924519392,1.2109425595,0.7963694832,0.627910307,1.4513058159,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,0.9331768019,0.7193713829,0.5293884968,-0.495270112,0.3902111501,-2.039655818,0.6067816818,-0.519683567,-0.704685558,,0.2632395775,-1.732698208,0.5516815849,1.2977920836,0.4497722506
010033,13683,289,5311,675,2072,,143,1018,40.922,559,388362,45286,35,6169,343487,560,47,13855,154,3225,33,91.882,203,139693,179,347,1314,366,54.371,277.386,16,14315,353,,32.468,35,400,461,49749,1582,776,776,275,365,606,5.954,45,-1.101078866,0.2786389211,-0.247161735,0.9747372911,0.9628117835,-0.777167279,-1.269699396,-0.221197667,-0.246649995,0.0773990695,0.3253545379,-0.456281409,-0.301396009,0.2028625827,-1.299099327,-0.570640885,-0.278446808,-1.571918086,0.4938384906,-1.071540215,0.3628172381,-0.822654325,-2.034668142,0.7233592449,0.8610146514,0.7675914583,0.6671169089,0.5707605124,-0.231670805,0.7686551275,0.6784137042,0.9331768019,1.1920629137,-0.488715575,-0.262254233,0.9356322668,-2.272849971,-0.091583909,-0.594493812,-0.270541921,,0.5494594,-1.135150425,-0.269713014,0.5630493928,-1.214620013
010034,205,,82,,396,,,,,,,,,,,,,63,,,,,,7111,,,,,,,,205,,,,,,,,236,,,11,,,,8,,,,,,,,,,,,,,,,,,,0.391905911,,,,-1.444557105,,,,,,,,,,,,-0.475438973,-0.973341641,,,1.0700341412,0.1636017162,,,,,0.9304207382,-0.917407109
010035,1738,,1828,367,380,31,104,69,1.564,128,37485,2197,42,413,36227,309,54,1691,120,727,37,5.679,88,44627,65,386,319,,1.536,15.333,18,1725,,,1.855,,129,25,8107,401,,,136,417,,,39,0.3874535968,,0.0178188695,-0.690689751,-1.282651151,-0.723771713,-0.058977542,-0.374518794,0.9776423739,-0.479714077,-0.292570809,,1.1916109066,0.1245697235,0.3187089629,,0.7682468893,0.5746987102,0.1880407518,,-0.828937633,0.0232675619,-2.772306938,,,0.4257342795,-1.154063558,-0.436147184,-1.17226019,-1.277016409,-2.293580553,-1.00956652,-1.17139474,0.0203364607,0.030255063,-0.046125743,-0.322498873,0.6649788143,0.2284188838,0.1636017162,0.8464558842,0.5494594,,0.5516815849,-0.355378971,2.173607095
010036,589,,507,159,414,,51,,,,,,44,291,8439,137,43,518,60,348,41,,121,18039,,146,188,,,2.763,17,549,,,,,43,,,334,,,82,144,,,31,,,-0.114671433,-0.366856715,-1.66265257,0.2373484794,,0.3920868393,,,,,,0.191348927,0.3726359059,,-1.406021381,0.3069203368,-2.360273739,,0.6607559558,-1.330207457,0.6208315229,,,0.4257342795,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-1.3029158,-1.00956652,-0.69870321,1.0384405328,3.361886361,0.3902111501,-0.174102594,,0.1723111999,0.1636017162,,-3.815392893,,-0.475061664,0.5630493928,-0.501309043
010039,13595,624,7629,1270,375,16,390,600,25.104,1232,289329,27305,168,1199,254006,1118,128,13266,426,2592,158,49.345,76,158285,591,1343,1914,272,30.247,222.038,18,10177,267,,16.932,182,914,304,33036,2202,85,85,430,1340,945,8.392,46,-2.82464277,1.1211899444,-0.578387492,-1.199570236,-1.489924652,-0.136420484,-1.919647813,1.0053713456,-0.190938577,-0.082021,0.0431418796,0.8621190211,-0.728887763,-0.738954459,-3.833665649,0.1606011619,-0.359327684,-0.500804593,0.1880407518,1.806812858,0.0648785204,-2.176129343,-0.116807273,1.0884104365,0.9775668235,1.1094486371,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-0.312251048,-0.038194859,0.2466798521,0.5293884968,-0.15318297,-0.209752078,-2.506044124,-0.149781041,-1.417406509,0.1636017162,-0.774564191,0.0485747107,0.2544955818,-0.269713014,0.5630493928,0.2120019273
010040,1597,132,1051,235,395,,83,90,3.295,,45884,4909,60,674,45134,204,37,2934,97,629,57,7.772,43,29061,125,233,421,56,3.678,19.01,18,1403,56,,2.486,71,125,44,9613,313,,,179,235,,,41,0.4657974106,0.399003353,-0.247161735,-0.043023679,-1.904471656,0.6645130092,-0.647189434,-0.681161047,-0.868987292,0.1459668413,0.6115796984,,-0.759422888,0.5413640622,-5.073985338,-0.812468963,-0.621001109,-0.250585457,-1.442880522,-0.951608837,0.2635043322,-0.145916815,-0.854446069,,,0.4257342795,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.17139474,-0.997767611,0.5904847306,-2.827773438,-0.428496215,,-0.426170761,-0.270541921,,-1.525634313,-0.454223882,-0.064364365,-0.171693298,-1.095734851
010044,150,,77,35,419,,,,,,,,,,,32,,109,,134,,,33,7358,,57,,,,,,173,,,,,,,,63,,,23,58,,,14,,,,0.2345474946,-0.488102728,,,,,,,,,,,,1.6769673262,1.3385255457,-0.015824407,,,,0.9158870412,,,,,,,,,,,,-0.52501682,-0.373378413,-0.046905783,,1.1822495089,0.1636017162,,-2.169628914,,,0.5630493928,1.8169516099
010045,473,,141,55,346,,30,,,,,,,150,2916,53,,278,31,293,,,12,10266,,71,,,,1.248,36,415,,,,,,,,96,,,55,66,,,26,,,-0.644632643,0.2345474946,0.1682633606,,,,,,,,,-2.666340434,0.1030011909,,0.2496577394,0.7151726109,-0.729352465,,-0.828937633,,-0.854446069,,,,1.5777071423,1.5776682088,1.6495079648,1.7914908957,1.6690784566,1.904548463,1.6647544446,2.0565446049,-0.465523404,0.3902111501,0.7162750817,,0.6398752319,-1.138829195,,0.6210143556,,,-1.457493007,0.5092148315
010046,1377,60,1130,284,419,,90,,1.834,,34685,3820,,405,34685,230,,2659,103,201,,5.895,32,24021,66,265,186,,2.698,20.882,35,1211,,,,,68,29,8098,173,,,106,277,,,34,0.2307659691,,0.2165543233,-0.043023679,-0.177192475,-0.510189448,-0.05812009,,-0.029239585,0.4476650374,,,-2.313500053,0.582813223,1.289393937,-0.081226917,-0.61624341,-0.821260679,0.7996362295,,-0.828937633,,-0.264335032,,,0.0838771007,-1.154063558,-1.44305488,-0.231670805,-0.254180641,-1.3029158,-0.038194859,-0.226011679,0.0203364607,-0.520059035,-0.209752078,0.6950756133,,0.2845265676,-0.270541921,,-0.738529801,,,-1.64117868,0.0931167656
010049,645,,518,102,404,,56,,,56,,,119,414,13664,83,39,1337,59,533,108,1.199,78,31990,,158,94,,,4.486,17,644,,,,,34,,2171,530,,,149,152,,,33,,,-1.108348702,-0.089285541,-1.351742318,-1.417914073,,0.6987290924,,1.0287769037,,,,0.5114285572,0.5883436779,,0.1687768628,-0.004756131,0.0861081721,,-0.729624727,0.8691894486,0.4733037638,,,0.7675914583,-0.243473324,0.5707605124,-0.231670805,0.7686551275,-1.3029158,-0.038194859,-0.226011679,0.5293884968,-0.52501682,-1.136967976,-0.216501531,2.0035128624,0.6959829157,0.5977453531,,0.5494594,,-1.091107614,0.5630493928,-0.144653558
010051,82,,,,236,,,,,,,,,,,,,,,,,,,191,,,,,,,,28,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.287043156,1.2083428251,,,0.714685477,0.5977453531,,,,,,
010052,98,,75,,350,,,,,,,,,121,,,,107,,,,,30,5254,,28,,,,,24,97,,,,,,,,,,,,25,,,17,,,,,-1.731743737,,,,,,,,,,,,,0.7722401331,,,,,-1.149501587,,,,1.5777071423,1.5776682088,1.6495079648,1.7914908957,1.6690784566,0.9331768019,0.7193713829,1.5474925688,-0.52501682,-3.482278778,,,1.0139264574,0.5977453531,,0.6210143556,,,0.5630493928,
010055,2277,263,2034,325,410,,124,44,3.39,140,56199,4892,106,1054,56189,302,43,4833,125,1290,99,13.871,70,41254,268,291,694,89,4.435,24.037,20,1870,84,,1.245,79,165,71,12773,360,,,140,305,338,3.039,43,-2.19789226,-3.934116195,-2.896967786,-1.615926997,-0.695376229,-0.563585014,1.0522799108,-1.141124426,0.6719089855,0.7819329251,1.149255,1.1084136071,0.7175129088,0.928222896,1.5051017091,-0.645492433,-0.906463026,0.4122757624,-0.321622146,-2.150922618,0.9586946735,-1.837760589,-0.264335032,,,-0.941694436,0.6671169089,0.5707605124,-0.231670805,0.7686551275,-0.312251048,-0.038194859,0.7193713829,0.5293884968,1.0664320589,0.3356690385,0.313485181,0.3157960191,-0.968545038,0.1636017162,,-2.670513603,-0.412534502,-2.733896813,0.5630493928,-0.441866462
010056,,150,2744,439,331,22,82,361,9.62,74,104330,12607,138,1796,97667,375,76,5774,82,813,132,19.605,62,37677,136,382,1275,104,13.627,52.151,30,3188,96,,9.299,52,206,113,15303,1625,,,216,405,308,2.596,43,-0.552672169,-1.767556421,0.4152897771,0.6509042552,1.2046308687,-0.136420484,1.6983697954,-2.214372312,-0.118921379,0.2419617219,0.1421169351,-0.486292094,0.5230523741,-0.167877133,0.1569281339,0.0972652366,-0.454481657,-0.465686118,1.717029446,-1.551265728,0.462130144,0.5308206939,-1.001973828,,,1.7931629948,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-0.312251048,-0.038194859,0.7193713829,0.0203364607,-0.52501682,,-1.000881864,0.4321902842,-1.43610907,-2.007116468,-0.147072549,0.0485747107,-0.1346053,0.3463329351,0.5630493928,-0.3229813
010058,290,,57,,452,,,,,,,,,,,,25,45,,63,,,,17464,,30,,,,,,235,,,,,,,,,,,25,29,,,12,,,,,-0.626285062,,,,,,,,,,0.0490742479,,,1.3648644021,,,,,0.6208315229,,,,,,,,,,,,-0.460565619,-0.373378413,0.8858708294,,0.6024701093,-0.704685558,,,,0.5516815849,2.0325347745,1.6386238674
010059,212,,61,,379,,,,,,,,,,,,,112,,84,,,,6272,,36,,,,,,268,,,,,,,,,,,,39,,,9,,,,,-0.039010141,,,,,,,,,,,,,-0.035484796,,,,,-0.55939055,,,,,,,,,,,,-0.505185681,0.8810901551,-0.534493558,,1.6124084183,0.5977453531,,,,,-1.090121662,
010061,866,,371,68,651,18,37,,,,,,,158,8507,63,25,571,41,438,,1.065,49,17043,,110,101,,,4.044,14,829,,,,,29,,1950,266,,,131,115,,,31,,,-0.180916584,-0.505642302,-0.453557144,-0.243211617,,,,1.0287769037,,,,-1.252463506,0.2647820199,,0.6921237113,-0.483245355,1.0035013887,,0.0648785204,,0.7683592821,,,-1.625408793,0.6671169089,0.5707605124,0.70891858,-0.254180641,-1.3029158,-0.038194859,-0.69870321,1.0384405328,-0.520059035,0.2265848151,-1.106879206,,-0.55708869,0.1636017162,-1.402055833,0.3347945331,,-3.555291412,-0.539064643,-0.97684969
010062,347,,50,,409,,,,,,,,,,4450,,,81,,138,,,112,8977,,27,,,,1.409,,213,,,,,,,,132,,,,25,,,13,,,,,-0.626285062,,,,,,,,,1.0249376044,0.1569281339,,,0.6185968041,-0.933217624,,,,0.3257760046,,,,,,,,,,,,-0.366367711,-0.318836301,0.4618814602,,0.9391162123,-1.138829195,,-3.457618115,,,-0.355378971,
010065,1028,,334,94,636,17,34,,,,,,36,301,4768,80,30,472,38,588,32,1.447,63,18655,28,76,195,,,1.867,26,738,,,,,,,2473,389,77,77,183,87,,,35,-0.787703611,,-0.578387492,-0.135547404,-1.559015819,,,0.2387657127,,1.0287769037,,,,-2.675551359,-0.490195182,,1.8577598739,-0.017925559,0.6977036498,,-0.034434386,1.0383738259,0.7683592821,1.0884104365,-1.35347662,-0.257980078,0.6671169089,-0.436147184,0.70891858,0.7686551275,0.6784137042,-1.00956652,-0.226011679,0.5293884968,-0.113520692,-1.627846981,-0.428496215,,0.2658240063,0.5977453531,0.5850010334,0.6210143556,,0.5516815849,0.0119923747,-0.085210977
010069,246,,115,39,238,,,,,,,,,179,3347,30,,151,,171,,,111,15490,,36,,,,1.367,26,233,,,,,,,,32,,,,40,,,23,,,,-0.274332991,-0.349920393,,,,,,,,,1.0249376044,-0.058779638,,-1.077740176,0.9741713655,0.1880407518,,,,-2.034668142,,,,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,-0.038194859,-0.226011679,1.0384405328,-0.445692265,-1.90055754,-0.386097278,,-0.4074682,0.1636017162,,-3.457618115,,,0.7467350655,
010073,280,,84,,359,,,,,,,,,,,,,94,,78,,,44,4487,,38,,,,,,198,,,,,,,,81,,,24,31,,,12,,,,,-1.109923233,,,,,,,,,,,,,0.2235139582,-0.015824407,,,,0.7683592821,,,,,,,,,,,,0.2979754351,-1.191510088,0.9494692348,,1.3505725604,0.5977453531,,0.1201296663,,,-1.090121662,-1.095734851
010078,2784,196,1908,311,382,16,158,113,3.036,154,63929,3945,177,1255,59952,287,184,2957,190,744,147,4.315,206,53867,212,277,408,,2.703,37.605,16,2947,,,3.235,110,110,77,6541,1009,77,77,660,270,,,43,0.0740783415,,1.8064379534,-0.135547404,-0.626285062,-0.18981605,-2.945160092,-0.834482173,-1.536165486,-1.751646244,0.3226795364,,-1.984042123,-1.547213094,-1.083391555,-1.710687541,-0.13095815,-0.935395723,-1.137082783,,2.8456398856,-2.006944966,-1.001973828,0.8693797215,0.627910307,-0.257980078,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-0.312251048,-1.00956652,-1.17139474,-0.488715575,-0.475438973,-0.427920525,-0.534493558,0.4903874167,-0.85632967,-1.138829195,-0.774564191,0.1201296663,0.0321522206,-0.064364365,0.5630493928,-0.501309043
